ID,Aminobenzoate degradation,Amino sugar and nucleotide sugar metabolism,Neuroactive ligand-receptor interaction,Purine metabolism,Porphyrin and chlorophyll metabolism,Isoquinoline alkaloid biosynthesis,Bile secretion,ABC transporters,Benzoate degradation,Tryptophan metabolism,Starch and sucrose metabolism,Pyrimidine metabolism,Dioxin degradation,Fatty acid metabolism,Chlorocyclohexane and chlorobenzene degradation,Glucosinolate biosynthesis,Tyrosine metabolism,Phenylalanine metabolism,Methane metabolism,Biosynthesis of unsaturated fatty acids,Metabolic pathways,Arginine and proline metabolism,Fatty acid biosynthesis,Toluene degradation,Lysine degradation,Nitrogen metabolism,"Valine, leucine and isoleucine degradation",Pentose and glucuronate interconversions,Indole alkaloid biosynthesis,Fructose and mannose metabolism,Glyoxylate and dicarboxylate metabolism,Phosphotransferase system (PTS),Serotonergic synapse,Fatty acid elongation,Aminoacyl-tRNA biosynthesis,Ubiquinone and other terpenoid-quinone biosynthesis,Inositol phosphate metabolism,Cysteine and methionine metabolism,Carbohydrate digestion and absorption,Glycerophospholipid metabolism,"Tropane, piperidine and pyridine alkaloid biosynthesis",Protein digestion and absorption,Biosynthesis of secondary metabolites,Galactose metabolism,Propanoate metabolism,"Cutin, suberine and wax biosynthesis","Glycine, serine and threonine metabolism",Biotin metabolism,Novobiocin biosynthesis,Nicotinate and nicotinamide metabolism,Sphingolipid metabolism,Cyanoamino acid metabolism,Atrazine degradation,Terpenoid backbone biosynthesis,Pyruvate metabolism,Primary bile acid biosynthesis,Two-component system,Butanoate metabolism,Phenylpropanoid biosynthesis,Pentose phosphate pathway,Ascorbate and aldarate metabolism,Selenocompound metabolism,Phosphonate and phosphinate metabolism,Glycolysis / Gluconeogenesis,Glutathione metabolism,Xylene degradation,Caffeine metabolism,Pantothenate and CoA biosynthesis,Lysine biosynthesis,Betalain biosynthesis,Phosphatidylinositol signaling system,Carbon fixation pathways in prokaryotes,Mineral absorption,Microbial metabolism in diverse environments,Steroid hormone biosynthesis,Chloroalkane and chloroalkene degradation,"Phenylalanine, tyrosine and tryptophan biosynthesis","Valine, leucine and isoleucine biosynthesis",Thiamine metabolism,beta-Alanine metabolism,Sulfur metabolism,"Alanine, aspartate and glutamate metabolism",Styrene degradation,Carbon fixation in photosynthetic organisms,Histidine metabolism,Linoleic acid metabolism,2-Oxocarboxylic acid metabolism,Glycerolipid metabolism,Peptidoglycan biosynthesis,C5-Branched dibasic acid metabolism,Dopaminergic synapse,Taurine and hypotaurine metabolism,Vitamin B6 metabolism,Citrate cycle (TCA cycle),Synaptic vesicle cycle,Sulfur relay system,Oxidative phosphorylation,Steroid biosynthesis,HIF-1 signaling pathway,Biosynthesis of alkaloids derived from shikimate pathway,Epithelial cell signaling in Helicobacter pylori infection,Insulin secretion,Gap junction,Proximal tubule bicarbonate reclamation,Puromycin biosynthesis,Vitamin digestion and absorption,"Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid",GABAergic synapse,D-Glutamine and D-glutamate metabolism,Bacterial chemotaxis,Biosynthesis of alkaloids derived from histidine and purine,Glutamatergic synapse,Taste transduction,D-Arginine and D-ornithine metabolism,D-Alanine metabolism,Biosynthesis of phenylpropanoids,Circadian entrainment,Type II diabetes mellitus,Melanogenesis,Pathways in cancer,Biosynthesis of alkaloids derived from terpenoid and polyketide,Steroid degradation,Biosynthesis of terpenoids and steroids,Lysosome,Insulin signaling pathway,Clavulanic acid biosynthesis,Long-term potentiation,Degradation of aromatic compounds,Riboflavin metabolism,Fat digestion and absorption
G1,8904,7226.5,7116.8,6731.333333,6448,6324,6066.666667,5398.8,5016,4960,4641,4543,4408,4400,4345,4233.333333,4225.6,4068,3960,3918.857143,3765,3759.230769,3243.8,3030,2979.8,2771.142857,2763.4,2759.166667,2702.5,2676,2648.666667,2639.25,2604,2556,2530.052632,2520,2436,2434.714286,2376,2361.333333,2329,2282.857143,2266,2245.888889,2184,2178,2177.7,2170,2109,2079.75,2037.5,1995.25,1932,1932,1904,1903.5,1902.857143,1893.333333,1888.333333,1881,1880,1863,1845,1777.333333,1763.2,1702,1680,1674.4,1656,1632,1566,1557.428571,1496.4,1488,1485,1480,1479,1458.857143,1395.333333,1209,1143,1087.2,996,966,957,910,875,869,837,832,816,808.5,784,770,728,690,677.3333333,675,656.25,644,644,643.5,638,589.3333333,588,551,480,427.5,416,414,411,404,377,360,345,335,319,297,294,250,246,240,231,220,212,210,203,202,184,180
G3,8400,7905.5,6809.6,6762,5538.666667,6556.5,7175,5639.7,5049,4800,4794,4642,4437,4100,4542.5,4225,4453.6,4104,3580,3579.428571,3821,3890.769231,2851.8,2985,2923.4,2680.285714,2755.2,2447.5,2984.5,3480,2682.5,3093.5,2520,2232,2421.263158,2760,2058,2532.428571,2475,2346,2142,2195.571429,2309,2346.111111,2196,2079,2172.6,2268,2127.5,2244.25,1950,1863,2037,2226,2016,1950.5,2222.857143,1880,1980,1914,1983.4,1863,1890,1994.333333,1672,1961,1722,1769.6,1720.8,1692,1323,1899.142857,1533.133333,1489,2475,1380,1450,1465.428571,1412.666667,1234.833333,1107,1075.2,1044,1058,825,806,922,649,1917,800,846,792,896,950,664,690,906.6666667,1125,735,696,679,780,594,521.3333333,624,798,521,398.25,368,438,463,356,247,375,366,383,209,360,312,390,310,400,285,272,268,240,133,199,207,300
G4,8232,7687.25,6937.6,6624,5621.333333,6045,5600,5425.2,4686,4480,4653.75,4587,4118,4125,4977,4100,4256,4068,3460,3780,3684,3586.153846,3116.4,3060,2923.4,2680.285714,2656.8,2438.333333,2420.5,3144,2556.833333,2788.75,2352,2376,2373.842105,2560,2520,2369.571429,2313,2284.666667,2142,2144.095238,2207,2282.333333,2298,2124,2060.4,2156,2016.5,2115,1962.5,1937.75,1932,1848,1872,2021,2131.428571,1806.666667,1888.333333,1663.2,2039.8,1728,1620,1694.666667,1649.2,1628,1701,1730.4,1728,1560,1620,1636.285714,1482.866667,1444,1782,1660,1421,1389.857143,1386.666667,1250.333333,1107,1065.6,1008,981.3333333,803,884,852,616,1701,640,780,682,752,810,652,640,901.3333333,810,626.25,637,644,591.5,522.5,498.6666667,576,646,466,411.75,352,442,420,340,169,320,324,342,143,273,288,290,261,288,243,276,188,140,91,204,230,216
G5,8232,8439,6656,6823.333333,5497.333333,6370.5,6970.833333,5695.8,4917,4480,4998,4686,4321,3800,4977,4158.333333,4362.4,4152,3820,3679.714286,3755,3544.615385,2900.8,2955,2791.8,2581.857143,2656.8,2557.5,3031.5,3660,2605.166667,3248.75,2352,2160,2385,2920,1890,2402.142857,2592,2300,2108,2153.047619,2250,2432.666667,2250,2106,2177.7,2128,2146,2126.75,1950,1903.25,1953,2142,2000,2068,2108.571429,1833.333333,2126.666667,1966.8,2021,1782,1665,2046,1649.2,1887,1722,1741.6,1634.4,1644,1215,1754.571429,1502.2,1441,2277,1340,1488.666667,1412.857143,1473.333333,1296.833333,1125,1046.4,984,989,770,754,870,748,1404,704,822,726,848,856.6666667,644,660,805.3333333,1035,750,659,651,806,528,481.6666667,648,798,481,396,340,430,439,332,169,375,351,357,143,372,324,310,280,368,257,288,292,220,91,197,322,276
G6,8148,8075.25,6860.8,6731.333333,6117.333333,6417,6591.666667,5745.3,4950,4640,4896,4510,4350,3750,5056,4516.666667,4377.6,4128,3840,3787.714286,3793,3766.153846,3057.6,2910,2914,2634.857143,2952,2566.666667,2890.5,3360,2682.5,2961.25,2436,2124,2563.526316,2600,2394,2418.428571,2421,2070,2618,2291.809524,2316,2327.888889,2304,2196,2177.7,2100,2090.5,2021,1925,2029.75,1869,2226,2032,2021,2160,1853.333333,2218.333333,1874.4,2105.6,1836,1170,1984,1808.8,1961,1743,1724.8,1620,1656,1539,1715.142857,1635.6,1450,1683,1560,1498.333333,1554.142857,1490.666667,1271,1134,1065.6,972,966,770,858,919,748,1944,789.3333333,828,781,880,843.3333333,704,680,901.3333333,765,727.5,664,623,767,588.5,532.6666667,600,608,518,414,376,414,442,368,247,435,363,358,209,354,300,240,270,272,253,268,260,310,133,194,322,204
G7,7644,8148,7065.6,6670,5910.666667,6091.5,6445.833333,5583.6,4191,3920,4768.5,4532,3683,4375,5016.5,3950,4149.6,3912,3600,3918.857143,3729,3530.769231,3459.4,2955,2923.4,2536.428571,2566.6,2630.833333,2279.5,3636,2842,2852,2058,2592,2276.210526,2720,2184,2271.857143,2268,2100.666667,2533,2083.666667,2271,2227.666667,2262,2232,2116.5,2086,1683.5,1985.75,1937.5,1943.5,1869,1512,1760,2021,2085.714286,1973.333333,1943.333333,1782,2199.6,1431,1305,1632.666667,1710,1332,1764,1579.2,1814.4,1572,1404,1984.571429,1395.866667,1467,2277,1300,1372.666667,1324.142857,1256.666667,1234.833333,1170,1080,1032,789.6666667,1111,884,890,847,1647,885.3333333,786,748,912,980,696,530,890.6666667,1035,671.25,669,623,546,610.5,668.6666667,552,855,550,477,472,452,462,388,338,335,267,390,286,252,276,350,317,368,294,276,192,170,182,197,115,276
G9,8316,7905.5,6374.4,6240.666667,5290.666667,6324,5658.333333,5484.6,4785,4400,4781.25,4598,4205,4025,4740,4366.666667,4286.4,4080,3540,3895.714286,3717,3606.923077,3273.2,2985,2867,2460.714286,2861.8,2475,2679,3372,2735.666667,2869.25,2310,2412,2371.052632,2760,1806,2280,2277,2162,2346,2141.857143,2257,2204.888889,2202,2223,2019.6,2156,2016.5,1997.5,1912.5,1868.75,1932,1932,1632,1880,2142.857143,1826.666667,2053.333333,1775.4,1898.8,1701,1530,1663.666667,1626.4,1702,1617,1674.4,1591.2,1632,1161,1945.142857,1525.4,1406,1881,1460,1450,1468.714286,1369.333333,1203.833333,1107,1012.8,816,851,660,936,917,759,1998,682.6666667,816,698.5,784,960,644,630,928,855,615,694,644,682.5,550,504.3333333,612,703,515,398.25,356,400,465,344,195,360,327,387,165,315,306,310,307,304,288,264,236,240,105,199,322,228
G10,8400,7566,6656,6210,5580,6742.5,5570.833333,5362.5,4950,4800,4628.25,4455,4350,3900,4779.5,4191.666667,4362.4,4080,3560,3780,3696,3551.538462,3263.4,2880,2688.4,2498.571429,2599.4,2539.166667,2514.5,3444,2735.666667,2834.75,2520,2412,2312.473684,2920,2184,2377.714286,2151,2008.666667,1819,2092.619048,2255,2214,2226,2160,2060.4,1862,2146,2009.25,1762.5,1788.25,1848,2100,1968,1833,2017.142857,1820,1980,1749,2058.6,1728,1440,1756.666667,1436.4,1850,1659,1668.8,1519.2,1740,1404,1938.571429,1467.4,1420,1881,1480,1527.333333,1389.857143,1421.333333,1167.666667,1071,1044,936,935.3333333,759,858,894,759,1944,778.6666667,870,753.5,848,946.6666667,676,640,874.6666667,855,648.75,698,616,630.5,605,498.6666667,660,703,488,393.75,352,416,459,340,260,345,342,387,220,291,330,240,303,304,284,248,188,230,140,192,322,228
G11,7980,8390.5,7475.2,6547.333333,7233.333333,6463.5,5716.666667,5910.3,4686,5040,4845,4752,4118,3875,5056,4533.333333,4362.4,4176,3800,3440.571429,3943,4216.153846,2695,2940,3017.4,2839.285714,2829,3070.833333,2749.5,3444,2958,2944,2646,1908,2703,3160,1890,2573.142857,2403,2208,2482,2414.904762,2411,2296,2298,1971,2376.6,2212,2331,2056.25,1925,2093,2079,1974,1936,2021,2085.714286,2086.666667,2035,1782,2171.4,1971,1530,1808.333333,1763.2,1739,1743,1730.4,1807.2,1668,1215,1918.857143,1618.2,1499,2079,1560,1624,1504.857143,1464.666667,1193.5,1152,1190.4,984,1027.333333,1221,702,982,880,1512,1130.666667,834,984.5,992,943.3333333,764,730,837.3333333,945,712.5,698,693,656.5,693,742.3333333,684,817,572,504,524,442,464,464,572,425,360,394,484,303,342,290,304,336,283,284,216,300,308,196,460,252
G13,7896,8342,7142.4,6394,6282.666667,5580,5716.666667,5732.1,4851,4800,4781.25,4631,4263,3625,5411.5,4033.333333,4240.8,4068,4040,3209.142857,3811,3870,2646,3000,2895.2,2725.714286,2550.2,3125.833333,2632,3696,3103,3053.25,2520,1548,2421.263158,2240,1932,2556.857143,2376,2254,2193,2204.52381,2297,2373.444444,2262,1899,2284.8,1946,1868.5,2197.25,1937.5,1880.25,1743,2226,1760,1598,2182.857143,2113.333333,1760,1815,2312.4,1782,1800,1674,1717.6,1961,1764,1764,1800,1440,1242,2162,1531.2,1494,495,1800,1411.333333,1396.428571,1343.333333,1276.166667,1152,1173.6,816,1027.333333,1166,234,923,902,1944,1098.666667,720,929.5,1200,1053.333333,688,660,949.3333333,225,690,702,581,682.5,599.5,680,468,418,560,483.75,480,442,490,392,364,360,357,423,308,315,234,160,321,80,316,284,208,210,196,200,368,60
G14,8400,7857,6604.8,6685.333333,5745.333333,6510,5687.5,5497.8,5049,4800,4781.25,4697,4437,3725,5095.5,4283.333333,4499.2,4272,3960,3695.142857,3767,3717.692308,3077.2,3045,2791.8,2627.285714,2665,2924.166667,2702.5,3276,2682.5,2909.5,2520,2304,2443.578947,2800,1764,2426.571429,2286,2376.666667,2142,2186.619048,2255,2150.222222,2232,2124,2213.4,2198,2127.5,2091.5,1987.5,1897.5,2058,2226,2032,2162,2068.571429,1886.666667,1906.666667,1821.6,2011.6,1809,1755,1880.666667,1596,1961,1680,1691.2,1591.2,1680,1134,1675.714286,1521.533333,1438,2376,1700,1546.666667,1426,1516.666667,1136.666667,1143,1065.6,1020,958.3333333,726,832,866,814,1539,757.3333333,840,759,896,826.6666667,676,670,853.3333333,1080,693.75,664,686,702,555.5,515.6666667,648,760,471,411.75,364,412,429,352,195,385,360,354,165,324,324,350,272,384,248,264,220,250,105,203,437,288
G16,8652,6790,6656,6455.333333,5538.666667,6138,4345.833333,5560.5,5214,4640,4309.5,4785,4582,3775,4819,4291.666667,4256,4116,3760,3494.571429,3823,4036.153846,2891,2940,2848.2,2642.428571,2738.8,2970,1809.5,3468,2788.833333,2863.5,2436,2160,2457.526316,2360,2226,2516.142857,2097,2269.333333,2261,2213.47619,2275,2122.888889,2226,2016,2295,2156,2146,2138.5,1875,1886,2100,2310,2048,1974,1862.857143,1846.666667,1833.333333,1603.8,2115,1890,1845,1519,1596,2035,1743,1769.6,1605.6,1584,1431,1899.142857,1484.8,1467,2079,1620,1450,1462.142857,1438.666667,1214.166667,1107,1068,960,1035,792,572,912,737,1809,789.3333333,792,792,944,943.3333333,648,700,853.3333333,945,566.25,691,700,481,544.5,515.6666667,576,608,520,398.25,364,424,466,348,195,395,375,385,165,222,288,280,304,336,283,244,76,290,105,196,621,252
G17,7644,7493.25,7040,6562.666667,5910.666667,6510,6475,5735.4,4620,4640,4781.25,4730,4060,4075,5451,4275,4529.6,4224,3860,3533.142857,3878,4174.615385,2920.4,3000,2942.2,2763.571429,2599.4,2887.5,2491,3264,3006.333333,2783,2436,2196,2571.894737,3080,1638,2622,2295,1978,2108,2318.666667,2390,2104.666667,2244,2061,2448,2100,2164.5,2150.25,1950,2047,1974,2058,1888,2209,2182.857143,1960,2200,1821.6,2218.4,1755,900,1715.333333,1687.2,1813,1722,1741.6,1843.2,1680,1053,2168.571429,1569.866667,1502,2673,1680,1556.333333,1409.571429,1464.666667,1333,1161,1171.2,996,1019.666667,1089,806,946,682,1674,896,840,819.5,1136,1070,668,650,912,1215,705,728,658,630.5,550,617.6666667,636,969,563,459,436,456,507,348,169,430,342,429,143,291,318,410,348,432,321,168,192,340,91,200,345,324
G19,8148,7832.75,7884.8,6578,7398.666667,6556.5,6475,5850.9,4686,4240,4768.5,4741,4118,4025,4898,4166.666667,4332,3984,3680,3587.142857,3892,4056.923077,2842,2940,3055,2930.142857,2681.4,2905.833333,2467.5,3360,2962.833333,2880.75,2226,2376,2627.684211,2840,1638,2467.285714,2376,2192.666667,2346,2338.809524,2404,2186.666667,2196,2088,2162.4,2268,2183,2091.5,1925,1926.25,2058,1890,1904,2303,2097.142857,2120,1815,1755.6,2115,1917,1575,1767,1854.4,1665,1764,1708,1843.2,1692,1053,1964.857143,1567.933333,1518,3069,1560,1392,1435.857143,1386.666667,1245.166667,1152,1185.6,1044,996.6666667,1408,780,944,682,1836,1205.333333,846,1012,1056,966.6666667,828,710,890.6666667,1395,720,693,686,630.5,770,793.3333333,576,1026,570,508.5,560,440,478,476,611,405,348,386,517,291,288,440,321,496,290,224,208,320,329,196,230,372
G20,7980,7590.25,7526.4,6823.333333,6861.333333,6603,6300,5821.2,4488,4880,4730.25,4818,3944,3825,4977,4291.666667,4316.8,4092,3580,3533.142857,3886,4022.307692,2910.6,2940,2951.6,2831.714286,2640.4,3052.5,2491,3420,2885.5,2794.5,2562,2124,2630.473684,3040,2310,2467.285714,2331,2254,2159,2341.047619,2355,2182.111111,2178,2070,2228.7,2310,2294,2032.75,1962.5,2001,2121,1722,1824,2115,2108.571429,2066.666667,1998.333333,1663.2,2284.2,1863,1710,1643,1801.2,1517,1785,1691.2,1908,1704,1485,1840,1571.8,1513,2376,1720,1595,1389.857143,1412.666667,1229.666667,1152,1192.8,1008,981.3333333,1375,676,942,649,1944,1130.666667,852,962.5,1056,910,768,690,922.6666667,1080,690,689,707,559,693,770.6666667,672,836,537,508.5,544,452,465,444,520,395,330,382,440,258,336,350,297,384,273,212,180,270,280,196,506,288
G21,7896,8148,6348.8,6547.333333,5125.333333,6184.5,6241.666667,5438.4,4488,4400,4845,4697,3944,4000,5174.5,4166.666667,4225.6,3996,3360,3641.142857,3859,3641.538462,3116.4,2955,2989.2,2528.857143,2665,3144.166667,2561.5,3336,2871,2823.25,2310,2304,2415.684211,3120,2352,2345.142857,2430,2223.333333,2193,2168.714286,2355,2241.333333,2256,2070,2147.1,2100,2220,2009.25,1875,1880.25,1953,1764,1856,1856.5,2131.428571,1886.666667,1741.666667,1762.2,2425.2,1755,1710,1756.666667,1383.2,1554,1743,1685.6,1908,1596,1512,2142.285714,1508,1488,1881,1660,1440.333333,1399.714286,1326,1193.5,1107,1120.8,1020,935.3333333,1001,884,924,660,1566,821.3333333,798,781,1152,1063.333333,588,650,858.6666667,855,750,712,651,624,478.5,606.3333333,612,874,543,447.75,428,450,504,308,65,375,321,417,55,288,306,300,338,304,319,268,216,290,35,197,529,228
G27,7560,7541.75,7142.4,6685.333333,6117.333333,6417,6533.333333,5583.6,4323,4160,4628.25,4664,3799,4100,4937.5,4108.333333,4301.6,3960,3100,3756.857143,3853,3863.076923,3253.6,2910,2923.4,2634.857143,2615.8,2823.333333,2162,3444,2817.833333,2737,2184,2448,2438,2920,2394,2312.571429,2205,2269.333333,2261,2193.333333,2322,2273.222222,2256,2115,1963.5,2128,2072,1962.25,1875,1799.75,1974,1722,1840,1903.5,2068.571429,2100,1906.666667,1603.8,2321.8,1782,1755,1601.666667,1732.8,1517,1827,1635.2,1843.2,1656,1539,2024,1467.4,1465,2475,1400,1421,1360.285714,1265.333333,1203.833333,1062,1173.6,1032,904.6666667,1342,1170,934,660,1971,1152,828,957,1120,1010,732,660,944,1125,690,698,658,526.5,698.5,776.3333333,588,931,566,515.25,548,438,495,432,494,405,321,401,418,243,294,370,328,400,303,248,160,280,266,194,69,300
G28,7392,7202.25,7219.2,6470.666667,6324,6603,5716.666667,5646.3,4455,4640,4539,4730,3915,3750,5214,4333.333333,4453.6,4104,3460,3394.285714,3905,4063.846154,2753.8,2880,3036.2,2786.285714,2665,3116.666667,2068,3336,2885.5,2679.5,2436,1872,2594.210526,3080,2310,2565,2133,2637.333333,2244,2332.095238,2374,2063.666667,2250,1989,2223.6,2058,2386.5,2173.75,1925,1955,1911,1974,1936,1997.5,2051.428571,2093.333333,2016.666667,1564.2,2237.2,1755,2655,1560.333333,1664.4,1739,1680,1730.4,1828.8,1704,1485,2070,1529.266667,1489,2376,1520,1556.333333,1419.428571,1430,1265.833333,1143,1185.6,1020,989,1265,468,956,627,1971,1066.666667,852,907.5,1088,1016.666667,712,650,944,1080,645,707,637,500.5,643.5,691.3333333,684,836,569,483.75,488,456,494,404,416,415,336,409,352,231,342,350,329,384,305,216,120,350,224,192,644,288
